timestamp,gdp,freight_yoy,diesel_vs_baseline,bc_ab_spread
2026-07-17T16:02:32.486399,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:03:09.828887,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:03:09.924423,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:03:18.174135,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:03:25.478430,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:03:25.581264,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:17:25.971658,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:17:26.040584,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:32:41.941367,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:55:17.131060,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:55:17.197730,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:59:35.653711,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T16:59:35.717371,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T17:02:50.521679,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T17:10:30.662359,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T17:10:30.775358,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T17:32:59.247756,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T18:03:07.563405,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T18:33:16.894457,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:03:28.579751,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:08:49.418833,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:08:49.519456,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:11:26.998904,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:11:27.070226,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:19:51.731939,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:19:51.800752,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:22:11.085791,+0.5%,+1.1%,171.9¢/L,19.6¢/L
2026-07-17T19:22:11.153589,+0.5%,+1.1%,171.9¢/L,19.6¢/L
